time,open_,high,low,close,volume,unknown
2023-03-06T13:35:00+0530,87.745,87.7475,87.73,87.73,28,4203
2023-03-06T13:40:00+0530,87.73,87.735,87.73,87.73,12,4190
2023-03-06T13:45:00+0530,87.73,87.785,87.73,87.785,2,4190
2023-03-06T13:50:00+0530,87.785,87.785,87.785,87.785,0,4190
2023-03-06T13:55:00+0530,87.785,87.8,87.785,87.8,5,4190
2023-03-06T14:00:00+0530,87.8,87.8,87.785,87.785,10,4190
2023-03-06T14:05:00+0530,87.785,87.8,87.785,87.8,10,4190
2023-03-06T14:10:00+0530,87.8,87.85,87.8,87.85,21,4190
2023-03-06T14:15:00+0530,87.85,87.85,87.85,87.85,0,4190
2023-03-06T14:20:00+0530,87.85,87.85,87.79,87.79,4,4179
2023-03-06T14:25:00+0530,87.79,87.79,87.7475,87.77,33,4161
2023-03-06T14:30:00+0530,87.77,87.77,87.7575,87.7575,10,4161
2023-03-06T14:35:00+0530,87.7575,87.7575,87.7575,87.7575,0,4161
2023-03-06T14:40:00+0530,87.7575,87.7575,87.7575,87.7575,0,4161
2023-03-06T14:45:00+0530,87.7575,87.7575,87.7575,87.7575,0,4161
2023-03-06T14:50:00+0530,87.7575,87.7575,87.7575,87.7575,0,4161
2023-03-06T14:55:00+0530,87.7575,87.81,87.7575,87.8075,4,4171
2023-03-06T15:00:00+0530,87.8075,87.8075,87.8075,87.8075,1,4171
2023-03-06T15:05:00+0530,87.8075,87.81,87.8075,87.81,11,4171
